model,accuracy,f1_macro,f1_weighted,precision,recall
Gradient Boosting (Baseline),0.9272569444444444,0.32075188421463535,0.892258236244983,0.30908564814814815,0.3333333333333333
Standard LSTM,0.8069097222222222,0.3800544870233187,0.8531977239342811,0.3796093603057768,0.6153463117270399
Attention-BiLSTM (Hybrid),0.9788541666666667,0.8827197060133716,0.9797183304273669,0.8456625082941925,0.9270659953519127
